RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,POL,9430208,2006,32,KULPINSKI Anatol,1,FIS Spindleruv Mlyn (CZE),2024-03-17
2,56.00,POL,9430193,2004,33,MIKOLAJCZYK Maciej,2,FIS Spindleruv Mlyn (CZE),2024-03-17
3,42.00,CZE,9150343,2006,36,TULACH Ondrej,3,FIS Spindleruv Mlyn (CZE),2024-03-17
4,35.00,CZE,9150387,2007,34,KLEIN Krystof,4,FIS Spindleruv Mlyn (CZE),2024-03-17
5,31.50,CZE,9150213,1981,37,URBAN Ales,5,FIS Spindleruv Mlyn (CZE),2024-03-17
6,28.00,CZE,1696045,1971,41,SONKA Jiri,6,FIS Spindleruv Mlyn (CZE),2024-03-17
7,25.20,POL,9430191,2004,38,WILK Michal,7,FIS Spindleruv Mlyn (CZE),2024-03-17
8,22.40,CZE,9150196,1979,48,KECLIK Jiri,8,FIS Spindleruv Mlyn (CZE),2024-03-17
9,20.30,POL,9430207,2006,39,SLEDZ Stanislaw,9,FIS Spindleruv Mlyn (CZE),2024-03-17
10,18.20,CZE,1695463,1977,42,KUH Vojtech,10,FIS Spindleruv Mlyn (CZE),2024-03-17
11,16.80,CZE,1473042,1980,35,BRUZEK Viktor,11,FIS Spindleruv Mlyn (CZE),2024-03-17
12,15.40,CZE,9150221,1973,47,TULACH Jaroslav,12,FIS Spindleruv Mlyn (CZE),2024-03-17
13,14.00,CZE,9150184,1971,45,SKRIPSKY Jan,13,FIS Spindleruv Mlyn (CZE),2024-03-17
14,12.60,CZE,9150015,1984,40,RYS Michal,14,FIS Spindleruv Mlyn (CZE),2024-03-17
15,11.20,CZE,9150162,1984,44,KRBEC Ondrej,15,FIS Spindleruv Mlyn (CZE),2024-03-17
16,10.50,POL,9430206,2006,31,KACICZAK Bartlomiej,16,FIS Spindleruv Mlyn (CZE),2024-03-17
17,"",CZE,9150347,1972,46,KOZELSKY Radek,17,FIS Spindleruv Mlyn (CZE),2024-03-17
18,,"",KLEIN Tomas,CZE,9150198,1977,"",FIS Spindleruv Mlyn (CZE),2024-03-17
